,sensorValue
930,0.061332415767799464
931,0.03360951537717449
932,0.07529457397092454
933,0.12771107787717462
934,0.12056483764279946
935,0.06884926147092463
936,0.04927968139279937
937,0.09176234740842437
938,0.13720985717404943
939,0.12274818725217451
940,0.07305482787717454
941,0.06374135131467451
942,0.10894716186154962
943,0.14108510131467455
944,0.11502186889279953
945,0.07551210326779967
946,0.08692030639279946
947,0.13455922240842444
948,0.14665223998654953
949,0.10477382201779961
950,0.07241835326779955
951,0.09671718139279961
952,0.13638002318967457
953,0.12802528686154946
954,0.08683168334592462
955,0.0842616149865496
956,0.1369278747521745
957,0.1763490173302995
958,0.14816688842404946
959,0.09196376342404955
960,0.08111952514279963
961,0.11336220092404958
962,0.11722938842404962
963,0.06436171264279955
964,0.011405413814674414
965,0.007997454830299677
966,0.019228411861549555
967,-0.015350689700950326
968,-0.07982798462282559
969,-0.10050132446657534
970,-0.05961387329470047
971,-0.02565513306032563
972,-0.05052598266970043
973,-0.09399961548220048
974,-0.08784434204470037
975,-0.03972202759157528
976,-0.023278424075950488
977,-0.06825864868532538
978,-0.11423789673220042
979,-0.09633604126345041
980,-0.04188926391970038
981,-0.039440045169700566
982,-0.11482603149782533
983,-0.18998643188845032
984,-0.18781919556032545
985,-0.13491929321657548
986,-0.11663071899782551
987,-0.15336900024782563
988,-0.17957725220095044
989,-0.15022691040407543
990,-0.10999204712282551
991,-0.12044956665407547
992,-0.16256162720095046
993,-0.17076328735720048
994,-0.14171104126345058
995,-0.13961631470095037
996,-0.1894063537634505
997,-0.23059995727907534
998,-0.20651060181032532
999,-0.15245054321657547
1000,-0.1454251525915755
1001,-0.18901157837282545
1002,-0.20828306274782538
1003,-0.16249717407595043
1004,-0.10951670532595048
1005,-0.12451011352907537
1006,-0.18831870727907551
1007,-0.21177964477907563
1008,-0.16417295532595033
1009,-0.11538193970095034
1010,-0.12672568970095033
1011,-0.16053941040407538
1012,-0.14884116821657534
1013,-0.10531919556032543
1014,-0.09917197876345063
1015,-0.13754575806032543
1016,-0.14671421509157545
1017,-0.08127012329470062
1018,0.0006175720177996613
1019,0.01017274779904942
1020,-0.04935776977907547
1021,-0.09180820923220057
1022,-0.07765269165407562
1023,-0.06584165649782547
1024,-0.10976646118532551
1025,-0.16537339477907542
1026,-0.1543357971228254
1027,-0.08193882446657552
1028,-0.03326060181032542
1029,-0.05331358032595057
1030,-0.08711924438845053
1031,-0.06658286743532549
1032,-0.01532651977907551
1033,-0.01386826782595052
1034,-0.07540488891970054
1035,-0.12431675415407528
1036,-0.11200620727907551
1037,-0.08739317016970038
1038,-0.11153892212282557
1039,-0.15543955688845057
1040,-0.14143711548220028
1041,-0.06399668579470053
1042,-0.010170269779075536
1043,-0.042590191654075626
1044,-0.11148252563845062
1045,-0.1251465881384506
1046,-0.07606553345095057
1047,-0.04303330688845053
1048,-0.07145713501345052
1049,-0.10930723266970044
1050,-0.08968931274782532
1051,-0.036418804935325566
1052,-0.03176206665407544
1053,-0.08981821899782538
1054,-0.1314468811072005
1055,-0.10290220337282552
1056,-0.055617779544700374
1057,-0.06506821899782533
1058,-0.11497910766970043
1059,-0.12520298462282553
1060,-0.07895786743532551
1061,-0.04748057251345039
1062,-0.07206943970095048
1063,-0.09783457641970039
1064,-0.06514878540407554
1065,-0.007487408450950417
1066,-0.0007440002478253938
1067,-0.044773541263450456
1068,-0.059775006107200435
1069,-0.0030643127478253707
1070,0.06473231811154956
1071,0.06390248412717447
1072,0.010680316158424574
1073,-0.00594053345095058
1074,0.0472574645959245
1075,0.09991566772092453
1076,0.08253749389279963
1077,0.02984706420529948
1078,0.029798724361549622
1079,0.09191542358029947
1080,0.1285328552209246
1081,0.08212660522092463
1082,0.009141497799049603
1083,-0.005884136966575415
1084,0.02894472045529972
1085,0.039861468502174535
1086,0.010696429439674526
1087,0.005217913814674624
1088,0.057602191158424576
1089,0.10584535522092442
1090,0.07781630248654947
1091,0.002841204830299482
1092,-0.02232774048220043
1093,0.03363368529904953
1094,0.09601625365842459
1095,0.09513002318967456
1096,0.0615096618615496
1097,0.061630511470924576
1098,0.08451137084592442
1099,0.062105853267799604
1100,-0.013014263919700397
1101,-0.06175693970095053
1102,-0.029433697513450374
1103,0.03048353881467447
1104,0.02946034545529952
1105,-0.02940147095095047
1106,-0.05954942016970044
1107,-0.019411236575950452
